Which animal is your daemon?,,,,,,,,,
,,,,,,,,,
I'm most comfortable...,,,,,,,,,
,Panda,Fox,Orangutan,Wolf,King cobra,Panther,Peacock spider,Kingfisher,Seahawk
Alone.,0,4,1,0,4,4,2,1,4
With a huge crowd!,4,0,3,4,0,0,2,4,0
With one or two people.,0,2,1,1,3,0,1,2,1
Only around my family.,1,2,1,0,1,1,2,2,0
,,,,,,,,,
How do you like to spend your time?,,,,,,,,,
,Panda,Fox,Orangutan,Wolf,King cobra,Panther,Peacock spider,Kingfisher,Seahawk
Chilling,4,1,4,0,1,2,3,1,0
Watching CNN,3,0,4,1,2,2,3,0,0
Catching up on a book,4,4,4,1,1,2,2,0,2
Hanging out with your friends,3,1,4,2,1,0,2,3,1
Studying,0,4,1,4,2,4,1,1,4
Staring at the washing machine,0,2,1,0,2,1,3,1,0
,,,,,,,,,
Who's your favorite Beatle?,,,,,,,,,
,Panda,Fox,Orangutan,Wolf,King cobra,Panther,Peacock spider,Kingfisher,Seahawk
John Lennon,0,2,0,0,4,2,3,3,4
Ringo Starr,0,3,1,4,4,4,1,3,4
Paul McCartney,3,3,1,1,2,1,3,3,1
George Harrison,3,1,3,2,1,4,2,1,1
,,,,,,,,,
What's your perfect meal?,,,,,,,,,
,Panda,Fox,Orangutan,Wolf,King cobra,Panther,Peacock spider,Kingfisher,Seahawk
A big bowl of greens,4,2,4,1,0,1,0,1,1
Salmon!,0,1,0,3,0,2,0,1,4
Fruit of course,2,3,4,1,2,1,0,3,1
I like a good rare steak,0,4,1,4,3,4,1,0,3
Coffee! It's the best!!!,4,2,4,2,0,2,3,3,1
Micro livestock - it's the protein of the future! :-),0,0,0,0,3,0,4,3,2
,,,,,,,,,
How do you feel about heights?,,,,,,,,,
,Panda,Fox,Orangutan,Wolf,King cobra,Panther,Peacock spider,Kingfisher,Seahawk
The higher the better!,3,2,3,2,2,3,2,3,4
Heights are fine but not too high for me.,4,3,4,3,3,4,3,4,3
I prefer to stay low.,2,4,3,4,4,3,4,2,0
I hate heights! I'm scared of them (aaaaaaaaah),0,2,1,2,3,2,2,1,0
,,,,,,,,,
What's your favorite subject in school?,,,,,,,,,
,Panda,Fox,Orangutan,Wolf,King cobra,Panther,Peacock spider,Kingfisher,Seahawk
Math,1,4,2,3,3,3,4,3,3
Physics,2,3,2,3,3,3,4,4,4
History,4,2,1,0,2,2,0,1,1
Literature,3,2,1,1,3,2,0,1,1
P.E.,1,3,1,4,3,4,2,3,4
Art,4,3,4,1,3,1,4,1,0
Political Science,3,3,4,4,1,1,2,3,2
Engineering,0,1,1,2,1,0,4,3,4
,,,,,,,,,
Where do you feel most at home?,,,,,,,,,
,Panda,Fox,Orangutan,Wolf,King cobra,Panther,Peacock spider,Kingfisher,Seahawk
A cozy cabin in the forest with fire and hot chocolate,4,3,2,2,0,0,1,0,1
BASE jumping off Burj Khalifa,0,0,0,0,0,0,3,4,4
Exploring a desert,0,1,0,1,4,1,1,3,0
Relaxing by the pool while drinking out of a coconut,3,1,4,0,3,2,1,0,0
Running a triathlon,0,3,0,4,1,4,0,2,3
Programming a game on the computer,1,1,1,0,2,1,4,3,3
,,,,,,,,,
How do you handle conflict?,,,,,,,,,
,Panda,Fox,Orangutan,Wolf,King cobra,Panther,Peacock spider,Kingfisher,Seahawk
I never have conflicts - I'm rollin',4,0,1,0,0,0,0,1,0
I bury my head in the sand,3,1,0,0,2,1,1,3,0
I call all my friends to back me up,1,2,3,4,0,1,0,3,2
I strike before they know what's hit them,0,1,0,1,4,3,2,4,4
I show my anger before I punch them,0,1,4,4,3,3,1,1,1
I manipulate people and destroy their lives,0,3,1,0,3,2,4,0,0
,,,,,,,,,
Who's your favorite Super Mario character?,,,,,,,,,
,Panda,Fox,Orangutan,Wolf,King cobra,Panther,Peacock spider,Kingfisher,Seahawk
Mario,0,3,1,2,3,4,1,1,3
Luigi,0,4,2,3,3,2,1,2,4
Toad,4,1,2,0,0,0,1,0,0
Princess Peach,3,0,1,0,1,0,3,2,0
Yoshi,1,1,2,1,4,2,3,3,3
Bowser,1,0,3,2,2,2,1,0,0
Wario,0,2,3,3,2,2,0,0,1
Koopa Troopa,0,3,3,2,4,2,4,3,2
,,,,,,,,,
And lastly - Which superpower do you wish you had?,,,,,,,,,
,Panda,Fox,Orangutan,Wolf,King cobra,Panther,Peacock spider,Kingfisher,Seahawk
Flight,0,1,1,1,0,2,3,4,4
Invisibility,0,3,2,1,4,4,2,0,1
Telepathy,1,3,3,4,3,2,1,3,1
Cuteness,4,2,2,0,0,0,3,2,0
Super strength,1,1,3,3,4,3,4,0,2
Super brainy,0,4,3,3,2,3,3,0,1
Agility,1,2,2,3,4,4,4,3,2
Super-sniffing!,1,4,1,4,3,3,0,0,0